identifiant_ban;numero_dpe
73157_0066;2173E0438302P
73307_qg1icr;2173E0770254Z
73300_0480_00021;2173E0841798R
73015_0710;2173E0440346F
73257_0010;2173E0435944X
73150_8eb2xb;2173E0382027E
73257_y43wig_00492;2173E0219235Y
73317_0145;2173E0048786F
73116_0935;2173E0988993A
73054_A061;2173E0642008L
73008_1020_00012;2173E0948793W
73065_3370_00023;2173E0712643E
73296_0096;2173E0884548X
73280_0551;2173E0492067M
73057;2173E0505341A
73024_l5e7l7;2173E1012119M
73050_0300_02860;2173E0345811G
73290_5uxps1;2173E0767623U
73054_A061;2173E0641905M
73181_0940_00528;2173E0268118B
73270_0224;2173E0953027S
73132_0260;2173E0455774P
73008_0100_00011;2173E0271022T
73213_0410_00008;2173E0294801I
73296_A147;2173E0486195Q
73055_0029;2173E0627783I
73150_0871;2173E0931285M
73065_1020_01796;2173E0117864B
73015;2173E0550937S
73257_iuumxl;2173E0386177U
73270_0440;2173E0729474N
73187;2173E0278348N
73304_0455_00029;2173E0619133Q
73315_0500_00050_b;2173E0911046B
73051_twqhb9_00010;2173E0846871U
NA;2173E0121121I
73175_zvtoz7;2173E0307218X
73051_0340_00142;2173E0694204Z
73065_2700_00029;2173E0688709Q
73304_0455;2173E0254324N
73050_0300_03450;2173E0796626H
73084_0120_00042;2173E0768018Z
73280_0551;2173E0469994N
73150_0823;2173E0728939Y
73182_A008;2185E0490488F
NA;2173E0169089G
73065_2610_00613;2173E0057802Z
73032_0023;2173E0516904T
73135_0085;2173E0737738J
73232_B127;2173E0429089G
73296;2173E0475947M
73011_0490_00500;2173E0556063W
73038_0001;2173E0895994D
NA;2173E0096864J
73137_0170_00130;2173E0425675Y
73257_iuumxl;2173E0225022N
73280_0150;2173E0300957C
73218_2030;2173E0408967I
73047_161bgi;2173E0393235G
73008_0171;2173E0755316L
73257_iuumxl;2173E0469191Q
73296_0012;2173E0718234F
73032_0072;2173E0567342R
73213_0458_00460;2173E0878548D
73010_5150;2173E0688397Q
73179_0645_00082;2173E0894110R
73285_0260_00003;2173E0213384X
73235_5s73bt;2173E0217281U
73150_6t9dzu;2173E0685571Y
73150_eaonig;2173E0348099G
73065_3040_00008;2173E0781973S
73265_0050_00449;2173E0938211W
73087_0040;2173E0565368T
73155_0040;2173E0466068N
73253;2173E0268920X
73015_0370;2173E0388274L
73296_A147;2173E0304254X
73257_iuumxl;2173E0432762N
73197_0060;2173E0821954L
73054_0020;2173E0871330N
73237_qz8acq;2173E0264152N
73176_1200;2173E0620264D
73204_0264;2173E0368823I
73024_qv6ogw;2173E0179638Z
73227_2360;2173E0854918H
73024_qv6ogw;2173E0511792D
73024_bc5zgl;2173E0175320X
73231_0067;2173E0748197Q
73150_xu38lz;2173E0438200R
73326_0410;2173E0399037K
73059_0025_00096;2173E0556253E
73032_0072;2173E0572712F
73008_1970_00007;2173E0878077A
73011_0510_00008;2173E0916032V
73065_1390_00058;2173E0446968X
73186_0040;2173E0572496X
73227_1960;2173E0517332F
73284_0008;2173E0031559Q
73257_0514;2173E0716470J
73015_0960;2173E0946977A
NA;2173E0750534N
73253_1550;2173E0629826X
73306_0564;2173E0989575K
73307_A025;2105E0432193A
73284_0011_00364;2173E0814643G
73015_0960;2173E0776241G
73159_0365;2173E0925635E
73179_0565_00114;2173E0241426L
73257_0479;2173E0807012T
73303_0510_00011;2173E0123085W
73318_B103;2173E0164895Y
73208_0064;2173E0116954B
73318_uuofq1;2173E0604739A
73065_1980_00085;2173E0191574B
73318_A131;2173E0648867G
73098_0251;2173E0567641E
NA;2173E0475996J
73008_0220;2173E0713435Q
73101_igvl19_00121;2173E0508266N
73213_0150;2173E0359624N
NA;2173E0750513S
73307_f8ffni;2173E0903064B
73055_0029;2173E0537429E
73065_0135_00484;2173E0141950L
73161_0040;2173E0923038H
73008_0090_00002;2173E0794118V
73157_0050;2173E0185775A
73227_2400_00050;2173E0418489O
73203_0022;2173E0781625I
73296_A147;2173E0361311K
73257_0173_00109;2173E0045213U
73224_0150;2173E0946938N
73150_prjgph;2173E0865142N
NA;2173E0361006R
73203_0030;2173E0390336T
73150_0823;2173E0139141K
NA;2173E0214586D
NA;2173E0317144R
73181_1020;2173E0958326N
73011_0510_00008;2173E0958335W
73024_vyakgo;2173E0230324L
73315_0500_00050_b;2173E0893549C
73142_0009;2173E0904808D
73105_0260_00008;2173E0619113W
NA;2173E0435396V
73188_xrtuas;2173E0626706X
73011_1203_00056;2173E0550668J
73087_0710_00002;2173E0486504N
73054_0020;2173E0871327K
73318_B103;2173E0222870T
73059_0160_00208;2173E0182861Y
NA;2173E0726311W
73304_0425;2173E0702989W
73315_0500_00050_b;2173E0858386R
73003_0004_00107;2173E0752516T
73142_dv9igl;2173E0164810R
NA;2173E0492310V
73051_0330;2173E0233104J
73008_2140_00030;2173E0136047K
73280_0551;2173E0543684T
73098_0020;2173E0589654V
73227_2140;2173E0036033S
73303_0124;2173E0621218V
73326_0041;2173E0427491U
73002_0183;2173E0604117C
73015_0270;2173E0946987K
73135_0020;2173E0071369U
73303_0323;2173E0165396F
NA;2173E0101193W
73160_0075_01305;2173E0119038F
73054_0020;2173E0871322F
73222_0340_00192;2173E0495482V
73296_0113;2173E0503550D
73011_0490_00123;2173E0740950X
73326_B109;2173E0348035U
73244_B146;2173E0125465K
NA;2173E0136691E
73285_zdnldy;2173E0256547A
73307_uk1xkh;2173E0989658P
73015_0960;2173E0481853Q
73287_0130;2173E0824379S
73282_0550;2173E0037100T
73006_1275;2173E0743122L
73257_0173;2173E0018315G
73181_0320_00052;2173E0709340D
73307_A025;2105E0331764J
73150_6g57of;2173E0195971E
73296_edlghr;2173E0276706J
73015_0960;2173E0530124F
73002_0140;2173E0386711I
73198_0628_00096;2173E0970720F
73011_0370_00060;2173E0214379E
73011_0450;2173E0916215W
73065_2920_00003;2173E0026991Y
73240_4200;2173E0284013K
73085_0005;2173E0877022L
73100_0011_00160;2173E0869702X
73257_0506;2173E0946110R
NA;2173E0278957Y
73029_0320_00014;2173E0582103K
73004_0024;2173E0449109G
73306_0525;2173E0781581Q
73015_1040;2173E0474598P
73150_0823;2173E0702133Y
73181_1020_00158;2173E0636172Z
73189_0010;2173E0887076D
73008_0710_00003;2173E0150413Y
73257_0010;2173E0197632B
73150_0823;2173E0734030T
73150_pvnifh;2173E0503593U
73150_pvnifh;2173E0330140N
73328_0015_00154;2173E0693383K
73227;2173E0008286N
NA;2173E0385236P
NA;2173E0509026T
NA;2173E0214603U
73054_A151;2173E0346466L
73054_A061;2173E0947017O
73087_0090;2173E0694944L
NA;2173E0182133Y
73057_0002;2173E0851614F
73107;2173E0031144R
73015_0960;2173E0386554H
73032_0011_00170;2173E0780407M
73300_0048;2173E1002771Y
73142_0009;2173E0441265O
73307_8sopvs;2173E0714467I
73290_b8rfxt;2173E0762085U
73008_0171;2173E0578846D
NA;2173E0324493I
73303_0582;2173E0330517A
73241_0300_00135;2173E0882455K
73257_ftak8m;2173E0684884N
73155_0089_00582;2173E0179252D
73132_0621;2173E0666514Z
73280_zeql03;2173E0980805C
73011_1580;2173E1008963C
73280;2173E0301817E
73008_1320_00008;2173E0797363Q
73051_0330;2173E0477618T
73257_0474;2173E0780574X
73236_0013_00040;2173E0304315G
73283;2173E0313292N
73059_0160;2173E0431598T
73142_0009;2173E0858970D
73296_0096;2173E0961685S
73296_0052;2173E0306563S
73296_0001;2173E0284414V
73054_A061;2173E0327190B
73024_negtj9;2173E0202885C
73011_0940_00031;2173E0502106P
73257_0474;2173E0636012V
73057_0029;2173E0853661Y
73227_2025_00523;2173E0268491K
73257_0433;2173E0777511C
73011_1110_00012;2173E0555992D
73029_0179_00010;2173E0707423K
73296_uh3v9m;2173E0942959M
73141_0450;2173E0368040F
73215_0360_00019;2173E0897366X
73193_0210_00071;2173E0719454D
73257_0144;2173E1005190Z
73064_0182;2173E0940401C
NA;2173E0368274F
73034_0595;2173E1014179S
73064_a002_00055;2173E0644853W
73296_0096;2173E0574633C
73124_0007;2173E0857385E
73257_fimlil;2173E0401223M
73257_tio6vi;2173E0596705A
73008_1160_00017;2134E0654555N
73094;2173E0106599U
73008_0940_00095;2173E0763582J
73232_X002;2173E0393450N
73137_0001_00565;2173E0746449K
73051_0353;2173E0786379E
73008_0405_00027;2173E0591193A
73057_0002;2173E0690618B
73008_0171;2173E0578692F
73065_2850_00103;2173E0769713E
73182_0021_00023;2173E0058631W
73011_1515_00005;2173E0571704L
73010_2817_00540;2173E0864298B
73011_1229_00020;2173E0430344N
73150_k3fhjb;2173E0533617O
73017;2173E0515453Y
73150_0735;2173E0733473I
73257_iuumxl;2173E0237342J
73296_0039;2173E0413293S
73065_1620_00757;2173E0540243K
73030_0307;2173E0670685K
73306;2173E0758404F
73084_0120_00042;2173E0747709W
73064_0338_00133;2173E0554835Q
NA;2173E0475991E
73006_jl45pw;2173E0726013K
73065_1439;2173E0560525M
73004_0126_00022;2173E0596275M
73034_0425_00887;2173E0483035C
73147_0220_01386;2173E0863375O
73257_0293;2173E0818043A
73130_0060_00209;2173E0459543O
73065_3625_00028;2162E0130982E
73226_1130_00240;2173E0449391C
73257_fimlil;2173E0058576T
73008_1580_00008;2173E0821085A
NA;2173E0552037A
73232_A004;2173E0396247C
73051_0315;2173E0664823Y
73236_0082_00001;2173E0233614Z
73150_xu38lz;2173E0438394D
73101_0060;2173E0968572P
73150_xu38lz;2173E0510109K
73008_0420;2173E0618701A
73008_1320_00008;2173E0315010P
73132_0260;2173E0827496P
73197_0240;2173E0900549I
73150_xu38lz;2173E0245905S
73057_0015;2173E0925676T
NA;2173E0543545K
73054_A061;2173E0411118B
73176_1200;2173E0813954T
73065_2700_00029;2173E0020029E
73089_0020;2173E0498432H
73057_0002;2173E0690001I
73071_A114;2173E0143606D
73150_0764;2173E0898923U
73011_1580;2173E1009052N
73215_0337_00014;2173E1012656D
73116_0270;2173E0736912P
73003_nw9bwu;2173E0496762B
73065_1980_00075;2173E0404680L
73054_A061;2173E0642547E
73227_2375;2173E1017430T
73197_0060;2173E0822484V
73232_X002;2173E0371517Y
73054_A061;2173E0978745W
73116_0230;2173E0818052J
73116_0230;2173E0806808X
73069_0050_00416;2173E0230272L
73011_0772_00081;2173E0266837U
73150_0873;2173E0942139Y
73150_t8wpp0;2173E0185256B
73290;2173E0522777Q
73006_1275;2173E0741283S
73057_0015;2173E0925657A
73015_0960;2173E0431362R
73015_1020_00001;2173E0678114D
NA;2173E0170341K
73176_1400;2173E0875337Q
73176_0090;2173E0172437A
73213_0450_00188;2173E0662590B
73285_q19yf8;2173E0861723A
73008_2300_00038;2173E0313252Z
73225_0050_00081;2173E0653527M
73054_A061;2173E0622800R
73284_0003;2173E0174027E
73227_2745_00410;2173E0731829C
73089_2090_02147;2173E0832116H
73257_0010;2173E0150749W
NA;2173E0278933A
73132_0621;2173E0411680R
73065_0200_00003;2173E0965633O
73054_A061;2173E0645257K
73205_0240_00828;2173E0047315Q
NA;2173E0124981U
73059_0091;2173E0970754N
NA;2173E0385298Z
73141_0003;2173E0501140L
73054_A061;2173E0513839W
73197;2173E0969833C
73057_0029;2173E0795055W
73280_0110;2173E0643113Y
73257_0010;2173E0150137I
73011_1580;2173E1009117A
73138_0120_00084;2173E0973909W
NA;2173E0205710T
73248_0870_00119;2173E0491427W
73181_1020_00158;2173E0687651Y
73197_0220;2173E0383076N
73054_0012;2173E0184658B
73011_1203_00056;2173E0981993U
73226_4200_00121;2173E0329564J
73128_0076;2173E0536202Z
73034_0255;2173E0207872X
73114_0054_00138;2173E0164642F
73006_75kh5a;2173E0432500L
73051_0315;2173E0656819C
73142_bh49iy;2173E0178883Y
73257_iuumxl;2173E0340614J
73011_1229_00020;2173E0430327W
73054_A151;2173E0444935S
73011_0490_01155;2173E0996725K
73330_mkytp3;2173E0869139G
73329_0020_00416;2173E0230211C
73132_0260;2173E0814626P
73235_stys44;2173E0382534R
73296_0001;2173E0282918H
73079_0350_00101;2173E0635688J
73304_0205;2173E0200128B
73212_0080_00021;2173E0523516B
73059_0091;2173E0725120B
73150_0823;2173E0858543S
73054_0020;2173E0871363U
73015_0980;2173E0339080J
73227_2605;2173E0236711C
73277_0030;2173E0134159U
73018_0034;2173E0728597U
73054_A061;2173E0513561E
73034_0225;2173E0370843A
73054_0210_00355;2173E0919740L
73257_0433;2173E0776355Q
73011_0650_00037;2173E0521193S
73150_t8wpp0;2173E0066713S
73257_xjisv9_00400;2173E0375528F
73130_0070;2173E0575478P
73206_0050;2173E0879583Y
73129_0117;2173E0725892T
73132_0260;2173E0742898V
NA;2173E0241179Y
73064_0338_00133;2173E0825335M
73227_A165;2173E0145594P
73296;2173E0475508P
73204_0264_00001;2173E0810648P
73330_0218_00061;2173E0554483C
73247_0350_00453;2173E0387894V
73161_0040;2173E0923023S
73011_0510_00008;2173E0916026P
73227_2400_00050;2173E0398108R
73181_1380;2173E0996191W
73150_7w5r8r;2173E0189519A
73182_0194_00001;2173E0348693C
73132_0621;2173E0268729O
73230_0517;2173E0874379U
73157_A057;2173E0632756P
73150_8cpzcp;2173E0717420X
73098_0251;2173E0269363Y
73296_A147;2173E0497118T
73303_0040_01005;2173E0633465W
73217_0700;2173E0735523E
73065_2610_00629;2173E0950002J
73015_0150;2173E0685699W
73257_0433;2173E0649158L
73179_0664_00095;2173E0658021I
73241_0280;2173E0090877C
NA;2173E0282825S
73018_0004;2173E0535210V
73116_A057;2173E0988099Q
73150_xu38lz;2173E0438031E
73013_A020;2173E0988440T
73218_2455;2173E0189598B
73054_A061;2173E0493480V
73011_0080_00066;2173E0262401E
73069_0027;2173E0437966R
NA;2173E0751244V
NA;2173E0449994H
73050_0300_03450;2173E0794844T
73224_0150_00031;2173E0861611S
73015_1360;2173E0361845Y
73015_0270;2173E0810197G
73051_0060;2173E0853443O
73056_0075;2173E0805399S
73237_zppexf;2173E0387648J
73304_0001;2173E0713271I
73091_0250_00157;2173E0289118T
73024_jyu1fn;2173E0729958D
73151_0740_01396;2173E0135034L
73296_0035;2173E0762854J
73065_0990_00163;2173E0789472D
73219_0300_00016;2173E0577680H
73051_0400;2173E0420377E
NA;2173E0124976P
